ESCOLA,DEPENDENCIA,CATEGORIA,LOCALIZACAO,ENDERECO,CEP,TELEFONE,AREA_VERDE,AUDITORIO,BANHEIRO_PNE,BIBLIOTECA,IN_LABORATORIO_INFORMATICA,PATIO_COBERTO,PARQUE_INFANTIL,QUADRA_ESPORTES,REFEITORIO,RECURSOS_ACESSIBILIDADE,INTERNET_ALUNOS,ALIMENTACAO,ED_INF,ED_FUND,ED_MED,ED_PROF,ED_EJA,ED_ESP
EEB PROF AUREA PERPETUA GOMES,Estadual,Pública,Urbana,R MARECHAL RONDON - 270 - SALTO DO NORTE,89065200,(47) 33788370,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim
EEB PROF HERIBERTO JOSEPH MULLER,Estadual,Pública,Urbana,RUA GUTTENBERG - 80 - FORTALEZA,89056050,(47) 33788684,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Sim
COLEGIO ADVENTISTA DE BLUMENAU,Privada,Filantrópica,Urbana,RUA SAO PAULO - 2325 - VICTOR KONDER,89030001,(47) 33806250,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Sim
COLEGIO VISAO BLUMENAU,Privada,Particular,Urbana,RUA ALEXANDER FLEMMING - 100 - BOM RETIRO,89010670,(47) 32325450,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
EEB DR MAX TAVARES D AMARAL,Estadual,Pública,Urbana,RUA VEREADOR ROMARIO DA CONCEICAO BADIA - 365 - ITOUPAVA NORTE,89053599,(47) 33788384,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Sim
EEB JULIA LOPES DE ALMEIDA,Estadual,Pública,Urbana,"R VENEZUELA, - 127 - PONTA AGUDA",89050310,(47) 33788381,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim
EEB CHRISTOPH AUGENSTEIN,Estadual,Pública,Urbana,R ARTHUR LINDNER - 46 - SALTO WEISSBACH,89032180,(47) 33788385,Sim,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim
ESCOLA TECNICA DO VALE DO ITAJAI,Municipal,Pública,Urbana,RUA ANTONIO DA VEIGA - 140 - ITOUPAVA SECA,89030903,(47) 33210335,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não,Sim
NUCLEO DE ESTUDO SISTEMICOS,Privada,Particular,Urbana,RUA 25 DE AGOSTO - 66 - ITOUPAVA NORTE,89053300,(47) 33373918,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não
CEI IRMA MARIA CHRISTA PRULLAGE,Municipal,Pública,Urbana,RUA FRITZ BRUCH - 520 - ITOUPAVAZINHA,89066390,(47) 33816543,Sim,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI PROF ELZIRA HORNBURG,Municipal,Pública,Urbana,RUA JOHANN G. H. HADLICH - 1725 - PASSO MANSO,89032400,(47) 33816534,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI IRMGARD ZOSCHKE,Municipal,Pública,Urbana,RUA ERICH BELZ - 161 - ITOUPAVA CENTRAL,89068060,(47) 33816539,Sim,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI FREI ODORICO DURIEUX,Municipal,Pública,Urbana,RUA PROFESSOR JACOB INEICHEN - 23 - ITOUPAVAZINHA,89066600,(47) 33816408,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
IFC - CAMPUS BLUMENAU,Federal,Pública,Urbana,RUA BERNARDINO JOSE DE OLIVEIRA - 81 - BADENFURT,89070270,(47) 37021700,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Sim
EEB BRUNO HOELTGEBAUM,Estadual,Pública,Urbana,RUA PAULA HOELTGEBAUM - 131 - FORTALEZA,89057160,(47) 33788672,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim
EEB JOAO DURVAL MULLER,Estadual,Pública,Urbana,RUA CARL KAUN - 60 - VELHA CENTRAL,89046625,(47) 33788703,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Não,Sim
EEB JONAS R COELHO NEVES,Estadual,Pública,Urbana,RUA DENIS DIDEROT - 125 - FIDELIS,89060285,(47) 33788682,Não,Não,Não,Não,Sim,Não,Sim,Não,Sim,Sim,Não,Sim,Não,Sim,Sim,Não,Não,Sim
EEF JOSE VIEIRA CORTE,Estadual,Pública,Urbana,RUA UDO SCHADRACK - 41 - PROGRESSO,89027405,(47) 33788379,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim
EEM PROF WIGAND GELHARDT,Estadual,Pública,Urbana,HEINRICH HEMMER - 2876 - BADENFURT,89070000,(47) 33788681,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim
CEI ALWIN KNAESEL,Municipal,Pública,Urbana,RUA GODO DEEKE - 160 - ITOUPAVA CENTRAL,89068254,(47) 33816472,Não,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
EBM BILINGUE ANNEMARIE TECHENTIN,Municipal,Pública,Urbana,RUA JOSEPHINA RAUSCH REITER - 158 - PASSO MANSO,89032425,(47) 33816173,Sim,Não,Sim,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim
